GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PDF Processor Infrastructure,com.pdfprocessor.infrastructure.adapter,RedisJobRepository,52,160,2,8,14,40,2,9,0,6
PDF Processor Infrastructure,com.pdfprocessor.infrastructure.adapter,LocalStorageService,97,223,4,10,25,52,6,14,3,10
PDF Processor Infrastructure,com.pdfprocessor.infrastructure.adapter,PdfProcessingServiceImpl,3716,679,372,78,770,138,247,51,28,17
PDF Processor Infrastructure,com.pdfprocessor.infrastructure.adapter,RedisJobQueue,25,170,0,6,6,37,0,10,0,7
PDF Processor Infrastructure,com.pdfprocessor.infrastructure.config,RedisConfig,0,52,0,0,0,12,0,3,0,3
