GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PDF Processor Domain,com.pdfprocessor.domain.exception,ResultNotFoundException,0,11,0,0,0,4,0,2,0,2
PDF Processor Domain,com.pdfprocessor.domain.exception,JobNotCompletedException,0,11,0,0,0,4,0,2,0,2
PDF Processor Domain,com.pdfprocessor.domain.exception,JobNotFoundException,0,11,0,0,0,4,0,2,0,2
PDF Processor Domain,com.pdfprocessor.domain.model,Job,89,209,19,19,17,50,16,27,1,23
PDF Processor Domain,com.pdfprocessor.domain.model,JobOperation,3,214,0,0,1,33,1,2,1,2
PDF Processor Domain,com.pdfprocessor.domain.model,JobStatus,0,33,0,0,0,6,0,1,0,1
